r/R,c/R,pitch (deg),airfoil,thickness/R
0.15,0.1693,33.068,goe222,0
0.20,0.1671,35.152,blended,0
0.25,0.1665,34.443,blended,0
0.30,0.1653,30.962,blended,0
0.35,0.1659,27.381,blended,0
0.40,0.1684,24.718,blended,0
0.45,0.1717,22.898,blended,0
0.50,0.1741,21.434,blended,0
0.55,0.1751,20.056,blended,0
0.60,0.1745,18.868,blended,0
0.65,0.1714,17.733,blended,0
0.70,0.1655,16.685,blended,0
0.75,0.1561,15.610,blended,0
0.80,0.1421,14.628,blended,0
0.85,0.1233,13.853,blended,0
0.90,0.0994,13.092,blended,0
0.95,0.0658,11.141,blended,0
1.00,0.0106,7.631,clarky,0
